id,name,zip_format,zip_country/id
__export__.res_zip_fr-07230,07230,'00000’,base.fr
__export__.res_zip_fr-07240,07240,'00000’,base.fr
__export__.res_zip_fr-07250,07250,'00000’,base.fr
__export__.res_zip_fr-07260,07260,'00000’,base.fr
__export__.res_zip_fr-07270,07270,'00000’,base.fr
__export__.res_zip_fr-07290,07290,'00000’,base.fr
__export__.res_zip_fr-07300,07300,'00000’,base.fr
__export__.res_zip_fr-07310,07310,'00000’,base.fr
__export__.res_zip_fr-07320,07320,'00000’,base.fr
__export__.res_zip_fr-07330,07330,'00000’,base.fr
__export__.res_zip_fr-07340,07340,'00000’,base.fr
__export__.res_zip_fr-07350,07350,'00000’,base.fr
__export__.res_zip_fr-07360,07360,'00000’,base.fr
__export__.res_zip_fr-07370,07370,'00000’,base.fr
__export__.res_zip_fr-07380,07380,'00000’,base.fr
__export__.res_zip_fr-07400,07400,'00000’,base.fr
__export__.res_zip_fr-07410,07410,'00000’,base.fr
__export__.res_zip_fr-07430,07430,'00000’,base.fr
__export__.res_zip_fr-07440,07440,'00000’,base.fr
__export__.res_zip_fr-07450,07450,'00000’,base.fr
__export__.res_zip_fr-07460,07460,'00000’,base.fr
__export__.res_zip_fr-07470,07470,'00000’,base.fr
__export__.res_zip_fr-07500,07500,'00000’,base.fr
__export__.res_zip_fr-07510,07510,'00000’,base.fr
__export__.res_zip_fr-07520,07520,'00000’,base.fr
__export__.res_zip_fr-07530,07530,'00000’,base.fr
__export__.res_zip_fr-07560,07560,'00000’,base.fr
__export__.res_zip_fr-07570,07570,'00000’,base.fr
__export__.res_zip_fr-07580,07580,'00000’,base.fr
__export__.res_zip_fr-07590,07590,'00000’,base.fr
__export__.res_zip_fr-07600,07600,'00000’,base.fr
__export__.res_zip_fr-07610,07610,'00000’,base.fr
__export__.res_zip_fr-07630,07630,'00000’,base.fr
__export__.res_zip_fr-07660,07660,'00000’,base.fr
__export__.res_zip_fr-07690,07690,'00000’,base.fr
__export__.res_zip_fr-07700,07700,'00000’,base.fr
__export__.res_zip_fr-07790,07790,'00000’,base.fr
__export__.res_zip_fr-07800,07800,'00000’,base.fr
__export__.res_zip_fr-08000,08000,'00000’,base.fr
__export__.res_zip_fr-08090,08090,'00000’,base.fr
__export__.res_zip_fr-08110,08110,'00000’,base.fr
__export__.res_zip_fr-08120,08120,'00000’,base.fr
__export__.res_zip_fr-08130,08130,'00000’,base.fr
__export__.res_zip_fr-08140,08140,'00000’,base.fr
__export__.res_zip_fr-08150,08150,'00000’,base.fr
__export__.res_zip_fr-08160,08160,'00000’,base.fr
__export__.res_zip_fr-08170,08170,'00000’,base.fr
__export__.res_zip_fr-08190,08190,'00000’,base.fr
__export__.res_zip_fr-08200,08200,'00000’,base.fr
__export__.res_zip_fr-08210,08210,'00000’,base.fr
__export__.res_zip_fr-08220,08220,'00000’,base.fr
__export__.res_zip_fr-08230,08230,'00000’,base.fr
__export__.res_zip_fr-08240,08240,'00000’,base.fr
__export__.res_zip_fr-08250,08250,'00000’,base.fr
__export__.res_zip_fr-08260,08260,'00000’,base.fr
__export__.res_zip_fr-08270,08270,'00000’,base.fr
__export__.res_zip_fr-08290,08290,'00000’,base.fr
__export__.res_zip_fr-08300,08300,'00000’,base.fr
__export__.res_zip_fr-08310,08310,'00000’,base.fr
__export__.res_zip_fr-08320,08320,'00000’,base.fr
__export__.res_zip_fr-08330,08330,'00000’,base.fr
__export__.res_zip_fr-08350,08350,'00000’,base.fr
__export__.res_zip_fr-08360,08360,'00000’,base.fr
__export__.res_zip_fr-08370,08370,'00000’,base.fr
__export__.res_zip_fr-08380,08380,'00000’,base.fr
__export__.res_zip_fr-08390,08390,'00000’,base.fr
__export__.res_zip_fr-08400,08400,'00000’,base.fr
__export__.res_zip_fr-08410,08410,'00000’,base.fr
__export__.res_zip_fr-08430,08430,'00000’,base.fr
__export__.res_zip_fr-08440,08440,'00000’,base.fr
__export__.res_zip_fr-08450,08450,'00000’,base.fr
__export__.res_zip_fr-08460,08460,'00000’,base.fr
__export__.res_zip_fr-08500,08500,'00000’,base.fr
__export__.res_zip_fr-08600,08600,'00000’,base.fr
__export__.res_zip_fr-08700,08700,'00000’,base.fr
__export__.res_zip_fr-08800,08800,'00000’,base.fr
__export__.res_zip_fr-09000,09000,'00000’,base.fr
__export__.res_zip_fr-09100,09100,'00000’,base.fr
__export__.res_zip_fr-09110,09110,'00000’,base.fr
__export__.res_zip_fr-09120,09120,'00000’,base.fr
__export__.res_zip_fr-09130,09130,'00000’,base.fr
__export__.res_zip_fr-09140,09140,'00000’,base.fr
__export__.res_zip_fr-09160,09160,'00000’,base.fr
__export__.res_zip_fr-09190,09190,'00000’,base.fr
__export__.res_zip_fr-09200,09200,'00000’,base.fr
__export__.res_zip_fr-09210,09210,'00000’,base.fr
__export__.res_zip_fr-09220,09220,'00000’,base.fr
__export__.res_zip_fr-09230,09230,'00000’,base.fr
__export__.res_zip_fr-09240,09240,'00000’,base.fr
__export__.res_zip_fr-09250,09250,'00000’,base.fr
__export__.res_zip_fr-09270,09270,'00000’,base.fr
__export__.res_zip_fr-09290,09290,'00000’,base.fr
__export__.res_zip_fr-09300,09300,'00000’,base.fr
__export__.res_zip_fr-09310,09310,'00000’,base.fr
__export__.res_zip_fr-09320,09320,'00000’,base.fr
__export__.res_zip_fr-09330,09330,'00000’,base.fr
__export__.res_zip_fr-09340,09340,'00000’,base.fr
__export__.res_zip_fr-09350,09350,'00000’,base.fr
__export__.res_zip_fr-09390,09390,'00000’,base.fr
__export__.res_zip_fr-09400,09400,'00000’,base.fr
__export__.res_zip_fr-09420,09420,'00000’,base.fr
__export__.res_zip_fr-09460,09460,'00000’,base.fr
__export__.res_zip_fr-09500,09500,'00000’,base.fr
__export__.res_zip_fr-09600,09600,'00000’,base.fr
__export__.res_zip_fr-09700,09700,'00000’,base.fr
__export__.res_zip_fr-09800,09800,'00000’,base.fr
__export__.res_zip_fr-10000,10000,'00000’,base.fr
__export__.res_zip_fr-10100,10100,'00000’,base.fr
__export__.res_zip_fr-10110,10110,'00000’,base.fr
__export__.res_zip_fr-10120,10120,'00000’,base.fr
__export__.res_zip_fr-10130,10130,'00000’,base.fr
__export__.res_zip_fr-10140,10140,'00000’,base.fr
__export__.res_zip_fr-10150,10150,'00000’,base.fr
__export__.res_zip_fr-10160,10160,'00000’,base.fr
__export__.res_zip_fr-10170,10170,'00000’,base.fr
__export__.res_zip_fr-10180,10180,'00000’,base.fr
__export__.res_zip_fr-10190,10190,'00000’,base.fr
__export__.res_zip_fr-10200,10200,'00000’,base.fr
__export__.res_zip_fr-10210,10210,'00000’,base.fr
__export__.res_zip_fr-10220,10220,'00000’,base.fr
__export__.res_zip_fr-10230,10230,'00000’,base.fr
__export__.res_zip_fr-10240,10240,'00000’,base.fr
__export__.res_zip_fr-10250,10250,'00000’,base.fr
__export__.res_zip_fr-10260,10260,'00000’,base.fr
__export__.res_zip_fr-10270,10270,'00000’,base.fr
__export__.res_zip_fr-10280,10280,'00000’,base.fr
__export__.res_zip_fr-10290,10290,'00000’,base.fr
__export__.res_zip_fr-10300,10300,'00000’,base.fr
__export__.res_zip_fr-10310,10310,'00000’,base.fr
__export__.res_zip_fr-10320,10320,'00000’,base.fr
__export__.res_zip_fr-10330,10330,'00000’,base.fr
__export__.res_zip_fr-10340,10340,'00000’,base.fr
__export__.res_zip_fr-10350,10350,'00000’,base.fr
__export__.res_zip_fr-10360,10360,'00000’,base.fr
__export__.res_zip_fr-10370,10370,'00000’,base.fr
__export__.res_zip_fr-10380,10380,'00000’,base.fr
__export__.res_zip_fr-10390,10390,'00000’,base.fr
__export__.res_zip_fr-10400,10400,'00000’,base.fr
__export__.res_zip_fr-10410,10410,'00000’,base.fr
__export__.res_zip_fr-10420,10420,'00000’,base.fr
__export__.res_zip_fr-10430,10430,'00000’,base.fr
__export__.res_zip_fr-10440,10440,'00000’,base.fr
__export__.res_zip_fr-10450,10450,'00000’,base.fr
__export__.res_zip_fr-10500,10500,'00000’,base.fr
__export__.res_zip_fr-10510,10510,'00000’,base.fr
__export__.res_zip_fr-10600,10600,'00000’,base.fr
__export__.res_zip_fr-10700,10700,'00000’,base.fr
__export__.res_zip_fr-10800,10800,'00000’,base.fr
__export__.res_zip_fr-11000,11000,'00000’,base.fr
__export__.res_zip_fr-11100,11100,'00000’,base.fr
__export__.res_zip_fr-11110,11110,'00000’,base.fr
__export__.res_zip_fr-11120,11120,'00000’,base.fr
__export__.res_zip_fr-11130,11130,'00000’,base.fr
__export__.res_zip_fr-11140,11140,'00000’,base.fr
__export__.res_zip_fr-11150,11150,'00000’,base.fr
__export__.res_zip_fr-11160,11160,'00000’,base.fr
__export__.res_zip_fr-11170,11170,'00000’,base.fr
__export__.res_zip_fr-11190,11190,'00000’,base.fr
__export__.res_zip_fr-11200,11200,'00000’,base.fr
